"time"	"species"	"forest"
0.264	"nasua"	"andean"
0.572	"nasua"	"andean"
0.422	"nasua"	"andean"
0.617	"nasua"	"andean"
0.493	"nasua"	"andean"
0.685	"nasua"	"andean"
0.605	"nasua"	"andean"
0.731	"nasua"	"andean"
0.733	"nasua"	"andean"
0.274	"nasua"	"andean"
0.642	"nasua"	"andean"
0.39	"nasua"	"andean"
0.626	"nasua"	"andean"
0.442	"nasua"	"andean"
0.34	"nasua"	"andean"
0.442	"nasua"	"andean"
0.06	"nasua"	"andean"
0.622	"nasua"	"andean"
0.288	"nasua"	"andean"
0.601	"nasua"	"andean"
0.374	"nasua"	"andean"
0.601	"nasua"	"andean"
0.542	"nasua"	"andean"
0.668	"nasua"	"andean"
0.698	"nasua"	"andean"
0.523	"nasua"	"andean"
0.266	"nasua"	"andean"
0.313	"nasua"	"andean"
0.507	"nasua"	"andean"
0.505	"nasua"	"andean"
0.395	"nasua"	"andean"
0.428	"nasua"	"andean"
0.266	"nasua"	"andean"
0.355	"nasua"	"andean"
0.413	"nasua"	"andean"
0.688	"nasua"	"andean"
0.757	"nasua"	"andean"
0.25	"nasua"	"andean"
0.767	"nasua"	"andean"
0.603	"nasua"	"andean"
0.461	"nasua"	"andean"
0.246	"nasua"	"andean"
0.638	"nasua"	"andean"
0.541	"nasua"	"andean"
0.504	"nasua"	"andean"
0.268	"nasua"	"andean"
0.715	"nasua"	"andean"
0.51	"nasua"	"andean"
0.713	"nasua"	"reforestation"
0.75	"nasua"	"reforestation"
0.644	"nasua"	"reforestation"
0.398	"nasua"	"reforestation"
0.355	"nasua"	"reforestation"
0.408	"nasua"	"reforestation"
0.415	"nasua"	"reforestation"
0.557	"nasua"	"reforestation"
0.701	"nasua"	"reforestation"
0.359	"nasua"	"reforestation"
0.47	"nasua"	"reforestation"
0.304	"nasua"	"reforestation"
0.714	"nasua"	"reforestation"
0.433	"nasua"	"reforestation"
0.735	"nasua"	"reforestation"
0.358	"nasua"	"reforestation"
0.473	"nasua"	"reforestation"
0.633	"nasua"	"reforestation"
0.667	"nasua"	"reforestation"
0.737	"nasua"	"reforestation"
0.513	"nasua"	"reforestation"
0.353	"nasua"	"reforestation"
0.719	"nasua"	"reforestation"
0.083	"dasypus"	"andean"
0.838	"dasypus"	"andean"
0.072	"dasypus"	"andean"
0.058	"dasypus"	"andean"
0.879	"dasypus"	"andean"
0.859	"dasypus"	"andean"
0.051	"dasypus"	"andean"
0.123	"dasypus"	"andean"
0.815	"dasypus"	"andean"
0.997	"dasypus"	"andean"
0.152	"dasypus"	"andean"
0.944	"dasypus"	"andean"
0.944	"dasypus"	"andean"
0.816	"dasypus"	"andean"
0.951	"dasypus"	"andean"
0.127	"dasypus"	"andean"
0.922	"dasypus"	"andean"
0.051	"dasypus"	"andean"
0.147	"dasypus"	"andean"
0.007	"dasypus"	"andean"
0.044	"dasypus"	"andean"
0.866	"dasypus"	"andean"
0.825	"dasypus"	"andean"
0.123	"dasypus"	"andean"
0.106	"dasypus"	"andean"
0.155	"dasypus"	"andean"
0.017	"dasypus"	"andean"
0.061	"dasypus"	"andean"
0.938	"dasypus"	"andean"
0.795	"dasypus"	"andean"
0.059	"dasypus"	"reforestation"
0.8	"dasypus"	"reforestation"
0.789	"dasypus"	"reforestation"
0.131	"dasypus"	"reforestation"
0.974	"dasypus"	"reforestation"
0.178	"dasypus"	"reforestation"
0.203	"dasypus"	"reforestation"
0.123	"dasypus"	"reforestation"
0.183	"dasypus"	"reforestation"
0.163	"dasypus"	"reforestation"
0.851	"nasuella"	"andean"
0.226	"nasuella"	"andean"
0.826	"nasuella"	"andean"
0.911	"nasuella"	"andean"
0.801	"nasuella"	"andean"
0.086	"nasuella"	"andean"
0.121	"nasuella"	"andean"
0.99	"nasuella"	"andean"
0.993	"nasuella"	"andean"
0.004	"nasuella"	"andean"
0.163	"nasuella"	"reforestation"
0.794	"nasuella"	"reforestation"
0.2	"nasuella"	"reforestation"
0.137	"nasuella"	"reforestation"
0.1	"nasuella"	"reforestation"
0.028	"nasuella"	"reforestation"
0.125	"nasuella"	"reforestation"
0.198	"nasuella"	"reforestation"
0.843	"nasuella"	"reforestation"
0.394	"nasuella"	"reforestation"
0.194	"nasuella"	"reforestation"
0.797	"nasuella"	"reforestation"
0.968	"nasuella"	"reforestation"
0.271	"nasuella"	"reforestation"
0.942	"nasuella"	"reforestation"
0.036	"nasuella"	"reforestation"
0.331	"nasuella"	"reforestation"
0.545	"nasuella"	"reforestation"
0.105	"nasuella"	"reforestation"
0.854	"nasuella"	"reforestation"
0.176	"nasuella"	"reforestation"
0.021	"nasuella"	"reforestation"
0.18	"nasuella"	"reforestation"
0.405	"nasuella"	"reforestation"
0.82	"nasuella"	"reforestation"
0.208	"nasuella"	"reforestation"
0.845	"nasuella"	"reforestation"
0.99	"nasuella"	"reforestation"
0.276	"nasuella"	"reforestation"
0.204	"nasuella"	"reforestation"
0.815	"nasuella"	"reforestation"
0.772	"nasuella"	"reforestation"
0.42	"nasuella"	"reforestation"
0.812	"nasuella"	"reforestation"
0.962	"nasuella"	"reforestation"
0.938	"nasuella"	"reforestation"
0.083	"nasuella"	"reforestation"
0.089	"nasuella"	"reforestation"
0.902	"nasuella"	"reforestation"
